ID,rwi_weight,pop2020,download_mbps_fixed,upload_mbps_fixed,latency_fixed,gdp_tot,gdp_per_capita,popDANE,pop60plus,pop60plus_ratio,pop_density
14828,0.3178985266159657,61200.38825638233,1.483,1.0235,76.0,158490000.0,3239.911688948853,48918.0,2594.454864308238,0.0423927843960642,14.510302564938652
12629,-0.1156243040145706,21294.833590149778,8.8245,1.11625,20.0,69390000.0,3425.313456412281,20258.0,2072.925384521484,0.0973440518211114,41.25153462357893
10057,0.5244207989822963,30382.400198449897,5.0365,0.79075,31.0,144180000.0,4684.667121551808,30777.0,2857.124084472656,0.0940387877788018,292.19506562681136
13209,-0.1964572642636585,22562.66593824628,5.194,2.501,28.0,216810000.0,8165.486592347092,26552.0,2505.5813369750977,0.1110498796477704,18.698058748762072
14362,0.1912693979237419,46777.94885136928,4.939,0.794,30.0,193050000.0,4416.306361951823,43713.0,4376.013671875,0.0935486437376551,85.22070795217273
11064,-0.3585037896485087,19746.63978253337,4.9455,0.76175,30.0,44550000.0,2377.648502962053,18737.0,1355.039401769638,0.0686212650198957,13.669682202818935
11753,0.6618585696861154,147788.89926781162,10.348,3.1675,22.0,665010000.0,5335.146453584924,124647.0,14637.003496050836,0.0990399385107185,251.0659949561643
10225,-0.4559514827508407,21121.936115596985,5.90875,4.1835,27.0,79380000.0,2651.125509318015,29942.0,2680.038222074508,0.1268841174126787,42.49008134633736
12212,0.2155031528823878,58000.20956357328,9.0825,2.07875,20.0,199260000.0,4678.453194336832,42591.0,6984.32493019104,0.120418960254542,257.0329455236478
14206,1.0383460451823583,471556.12888772174,20.252,4.865,22.0,1671840000.0,3104.4682996395723,538527.0,44559.52177810669,0.0944946296917209,3076.9085656081907
13821,0.1579080115398377,40952.77966259583,4.23675,1.1115,27.0,54810000.0,2560.0983994519524,21409.33333333333,4239.262936115265,0.1035158778242149,98.26092751950934
13625,-0.4112089980670794,7404.521216201844,8.466,1.731,26.0,23490000.0,2472.1111344980004,9502.0,731.7731323242188,0.0988278797450164,23.47414792497614
14401,-0.2622221507191018,34534.653463001814,5.0235,0.82175,31.0,112860000.0,3797.953964194373,29716.0,4126.88643348217,0.1194998651978207,16.5655925970185
11485,0.8991124785833926,72334.13742184668,11.943,4.20675,16.0,164835000.0,3888.305714454208,42392.5,5891.9757080078125,0.081454979875495,465.4811404191404
13059,-0.0475424969469051,21454.650400238977,6.6175,1.96,28.0,45360000.0,2928.3408650742413,15490.0,1829.39859199524,0.0852681613481272,45.16844912621561
14200,0.5563972915980336,37072.21353026835,7.42475,3.41625,28.5,313200000.0,6307.013834350269,49659.0,2255.439805984497,0.06083909190216,146.78498661059427
13868,0.3822990213269387,84970.69537517896,8.4465,2.688,29.0,363960000.0,3911.697691414816,93044.0,8119.676818847656,0.0955585544286309,62.741887846032185
12788,0.249553983892427,68294.23507984474,9.31825,3.0535,22.0,268380000.0,4573.307886306318,58684.0,5675.222324371338,0.083099581066195,98.92775494636116
10980,0.5865312340688004,9477.789878079118,5.064,0.793,32.0,32130000.0,3263.917106867127,9844.0,1826.20241355896,0.1926823064291313,238.29372597890182
11307,0.3319919438662906,14759.426963030528,5.7995,0.951,27.5,43470000.0,2889.908256880734,15042.0,1586.8329048156738,0.1075131784445547,55.16057974594234
10350,-0.0273262512121719,19670.404702904296,5.3225,0.813,29.0,52110000.0,3215.475749722325,16206.0,1422.0164008140564,0.0722921781372448,95.92325821993661
12675,0.9386206681115628,99140.29321580498,14.8915,4.441,19.0,369630000.0,4620.375,80000.0,14566.186729431152,0.1469249914131684,1468.1412605733974
14223,-0.24996472588333,19833.76237133923,4.745,0.736,33.0,87750000.0,3773.382068372393,23255.0,2607.0543842315674,0.1314452767669985,10.600421009542876
13692,-0.0031076802248145,18044.76361556797,6.25375,0.772,28.0,119610000.0,6187.150837988826,19332.0,2309.6471877098083,0.1279954249839648,96.69256328979974
11007,0.2105250879315024,66809.06085191914,4.584,1.193,34.5,212760000.0,4020.028341993386,52925.0,5897.104636907577,0.0882680367260121,33.80936564462759
11373,0.2982643028357396,40157.88904817531,10.231,4.70825,15.0,177120000.0,2897.810935506037,61122.0,1878.8968124389648,0.0467877385234306,93.14937899890928
10836,0.3781998681531964,33171.60317758575,5.18475,2.288,22.0,91530000.0,2539.46674805094,36043.0,983.1151885986328,0.0296372527832157,504.7054478437285
