max_movs,max_stay,cases,week,download_mbps_fixed,rwi_weight,gdp_per_capita,popDANE,pop_density,pop60plus_ratio,tests_unique_dev_fixed
0.0204,9.5836,0,0,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
2.5236,9.8074,0,1,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
3.5642,11.484800000000002,0,2,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
31.847400000000004,25.0976,0,3,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
37.9232,29.114000000000008,0,4,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
40.156200000000005,31.6836,2,5,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
35.4086,27.8504,15,6,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
36.9614,28.5472,128,7,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
40.1104,31.1394,346,8,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
41.274,33.0454,515,9,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
41.67659999999999,33.6186,495,10,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
40.2752,33.1596,438,11,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
38.5036,31.5742,121,12,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
34.6458,27.732399999999995,117,13,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
28.121,24.4594,138,14,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
26.219800000000003,24.2934,55,15,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
21.262,22.1054,19,16,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
18.7948,20.5404,17,17,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
14.362399999999996,17.964000000000002,14,18,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
14.800000000000002,17.9506,38,19,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
14.222800000000005,17.804000000000002,18,20,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
7.0732,15.9156,21,21,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
7.3906,15.748400000000002,17,22,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
5.8246,15.0948,21,23,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
10.8016,16.5186,10,24,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
5.0162,13.8708,17,25,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
5.4922,14.361199999999998,6,26,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
5.3572,14.0038,2,27,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
7.367399999999999,14.0356,6,28,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
5.007599999999999,12.432,5,29,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
3.1702,12.711200000000003,3,30,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
4.2654,13.2426,24,31,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
3.2636,13.0726,26,32,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
4.7568,13.3656,25,33,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
2.7627999999999995,13.3872,53,34,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
-1.8712,14.0076,115,35,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
-5.301999999999999,13.0688,53,36,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
-7.634,13.0994,7,37,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
-5.5292,12.447399999999998,15,38,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
-12.119,10.9842,17,39,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
-9.6894,11.4228,33,40,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
-9.6538,11.2468,30,41,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
-11.6934,11.1552,57,42,-1,0.3178985266159657,3239.911688948853,48918.0,14.510302564938652,0.0423927843960642,-1
7.334799999999999,31.367800000000003,0,0,-1,-0.2360026261835564,2571.580219974641,33913.0,16.551974406243332,0.0428084696321396,-1
4.492,31.614400000000003,0,1,-1,-0.2360026261835564,2571.580219974641,33913.0,16.551974406243332,0.0428084696321396,-1
12.936800000000002,35.765800000000006,0,2,-1,-0.2360026261835564,2571.580219974641,33913.0,16.551974406243332,0.0428084696321396,-1
41.88420000000001,47.1866,0,3,-1,-0.2360026261835564,2571.580219974641,33913.0,16.551974406243332,0.0428084696321396,-1
40.0864,46.30499999999999,0,4,-1,-0.2360026261835564,2571.580219974641,33913.0,16.551974406243332,0.0428084696321396,-1
42.3398,45.7226,0,5,-1,-0.2360026261835564,2571.580219974641,33913.0,16.551974406243332,0.0428084696321396,-1
