max_movs,max_stay,cases,week,download_mbps_fixed,rwi_weight,gdp_per_capita,pop2020,pop_density,pop60plus_ratio,tests_unique_dev_fixed
-1.641,16.6294,0,0,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
1.5396,17.2738,0,1,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
24.6454,25.652,0,2,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
60.60920000000001,50.7964,0,3,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
55.86119999999999,44.87179999999999,0,4,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
59.55239999999999,48.77219999999999,0,5,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
55.9748,47.298,1,6,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
57.2888,48.9412,2,7,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
52.87460000000001,44.39880000000001,2,8,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
52.9984,45.354600000000005,4,9,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
55.75979999999999,47.60759999999999,11,10,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
52.2138,44.9752,20,11,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
50.4034,43.4492,13,12,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
52.592000000000006,45.8022,13,13,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
41.415400000000005,38.58279999999999,11,14,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
35.0134,35.489000000000004,23,15,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
30.6152,33.634,15,16,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
32.105,34.535,32,17,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
34.034800000000004,35.8688,33,18,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
31.692,35.0426,70,19,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
30.5744,33.87499999999999,51,20,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
27.5452,31.7322,45,21,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
30.5512,31.812800000000003,110,22,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
22.1218,31.551,32,23,-1,0.6377686201431912,5768.7,132187.51184916229,471.4039079515693,0.0834075874170399,-1
