ID,rwi_weight,pop2020,download_mbps_fixed,upload_mbps_fixed,latency_fixed,gdp_per_capita,pop60plus,pop60plus_ratio,pop_density
12797,0.1975089703070368,69138.27973091602,9.61325,9.64,13.0,6505.67,8348.55058528483,0.1207514942196583,146.67647166145275
11655,0.1555150899618981,25368.86958384514,12.82775,12.5145,10.5,3230.51,2452.4104893654585,0.0966700735821177,166.13919298799996
10094,-0.2027546859969394,26245.544374227524,22.8435,20.978,11.0,2094.4,3118.296772539616,0.1188124249997156,19.2074915918773
10828,0.2510255724418749,30990.618361711506,7.314,7.298,13.0,4503.07,2939.131672263145,0.0948394006843827,39.097220764871174
14777,0.066385442979261,7940.871388673782,8.772,9.512,11.0,9183.86,739.3341562747954,0.0931049150763632,114.18671411900421
11210,0.2309823896292045,55597.77234363556,5.073,4.834,16.0,9989.26,4056.161582931876,0.0729554694720821,94.89773354991672
12943,0.7369344639982034,57590.229105472565,7.4615,8.06275,13.0,5392.22,3794.95083001256,0.0658957411518951,580.1091319192124
13196,0.950107126625678,286323.7924704552,13.1295,4.7585,15.0,13358.22,23465.936551511288,0.0819559434758907,760.9452836552364
11973,0.5878406011965264,84430.68474960327,6.914,7.74275,13.0,5546.23,8448.556787669659,0.1000650037687791,183.192288952296
10673,-0.0331126078279458,30098.54653668404,10.43,10.786,10.0,7438.33,3963.627893865108,0.1316883487723982,48.4375712101114
14516,0.4912941126344397,12898.291484355928,9.4585,10.225,12.0,6922.4,1580.453582972288,0.1225320101417453,45.373100969891055
13432,0.2950884449278744,79446.87576520443,7.226,7.35,13.5,6631.3,7614.475562468171,0.0958436123400475,87.68907965351748
13719,0.2445514130610243,29044.49315857888,10.264,10.394,12.5,6781.74,3937.036614984274,0.1355519131798445,43.88243983150555
14371,0.533641852993306,52243.47218465805,6.89825,5.4095,18.0,6911.57,3613.87517502904,0.0691737172876939,101.60538616094335
11748,-0.2755458949082995,50882.15069389343,15.4555,15.49925,14.0,6938.97,3688.911213874817,0.0724991212747133,11.284557957924191
10026,0.7157307728013319,240165.13986623287,11.9675,12.8745,14.5,15104.06,19199.142086170614,0.0799414190455123,177.14455967365822
11469,-0.0154949680942516,35906.55071258545,3.616,2.333,21.0,4577.17,2963.9923227131367,0.0825473977280207,28.064579886582145
13316,-0.2288987539408941,153991.2648088932,9.5835,9.505,13.0,10661.87,10869.679588332772,0.0705863387889066,42.22703683022109
12241,-0.2179655396518708,34178.69028759003,5.5225,3.7355,15.5,6623.31,2904.956671774388,0.0849932120666762,22.43046789632903
11716,0.2496070251375343,53042.02860212326,9.383,9.489,16.0,3025.22,3343.7740726321936,0.0630400865267499,17.13265726977696
14423,1.128196585256127,10202.694183945656,2.12425,2.1655,59.0,14194.17,718.6920406818388,0.0704413979018139,12.287379480631387
14554,0.9115887013056498,21375.18505513668,10.558,9.6575,10.0,15784.48,1489.434106700122,0.0696805245361932,11.741088836793379
10001,-0.1155014277451511,29773.16292190552,10.918,10.984,10.5,,2748.617737054825,0.0923186342097546,129.31948603792605
14498,0.0917521717805786,25471.328602313995,14.479,14.661,11.0,6925.14,1832.093123406172,0.0719276623536524,57.35220122848492
12370,-0.2239382442248891,65273.44710755348,10.054,10.198,9.5,3159.1,5960.736045151949,0.0913194615772355,54.249543245567814
11786,-0.2946119352627153,28190.25870275497,19.164,19.397,9.0,3948.01,3081.1916355490685,0.1092998708538971,36.92766343270272
14490,0.0279305609917302,14550.432340621948,14.257,17.4125,5.0,31623.05,1831.7727700173853,0.1258912949894578,56.7852813331879
13242,0.3074767932674349,156549.9913034439,15.864,9.352,10.0,6915.43,14578.46215507388,0.0931233661125931,303.7039443565528
12804,0.9882822489974664,284944.85231685644,14.35,10.389,10.0,9821.78,19355.299659252167,0.0679264759544742,826.3795805136767
11317,0.0776852990095999,87680.82562065125,9.6195,7.51925,13.0,3525.14,7357.324420034885,0.0839103004329151,134.0983460782539
10402,-0.1217073891092685,53623.44053220749,9.618,10.4125,10.75,5840.0,4238.637893244624,0.0790444971672192,113.94372657636983
13956,-0.2698251901398159,12054.119522571564,6.6735,7.971,13.0,,1183.293599665165,0.0981650793697063,82.79092859103797
13289,1.1633400159653244,2838342.9325962067,17.097,8.982,10.0,15078.68,242212.77667549253,0.0853359803334062,626.2996138170695
12409,0.2380765705438157,22126.76848220825,11.304,9.988,9.5,3022.65,1973.2076997160907,0.0891774007263063,305.5076073412542
10069,0.7460671891417612,200833.57448267937,17.848,18.27,6.5,4904.41,19202.83142605424,0.0956156433281545,499.1680166418479
14636,0.2232796119867937,81483.97723460197,19.0085,19.235,9.0,6987.98,5951.593290373682,0.0730400440965018,47.45709724161212
10008,0.6081167299276293,45069.132398843765,10.81,12.68,7.5,3572.69,4214.181389838457,0.0935048261534,193.74425447005797
12634,0.2911268567725251,23680.09402275085,8.165,9.288,12.0,3691.82,1927.4114671945567,0.081393742159249,174.35799245125102
10219,-0.0068229238838491,52453.58897781372,10.2445,10.665,10.5,2616.6,5119.658233702183,0.0976035831574392,55.36532124415457
11997,0.5035750506430512,50377.35773134232,15.64,16.899,9.0,3897.66,4192.820920825005,0.0832282817051446,184.85167272582936
12652,0.6120382319778361,71224.8723680973,20.11375,9.782,9.0,17062.13,7103.355345867574,0.0997313875012189,205.39572341288118
13354,0.2171507220269304,74255.26411318779,25.9765,24.406,6.0,6846.17,5996.611638009548,0.0807567208820222,138.80321196210625
10347,0.0237592807548881,46933.341660022736,16.931,14.7695,9.0,2518.48,4997.884084284306,0.1064889885848772,127.55288453744716
11726,-0.051676145934264,30762.122572422028,4.073,3.362,18.0,5758.9,3062.985711842776,0.0995700379462344,105.05853968763104
11759,-0.180522180097348,69684.97696208954,15.13,14.116,8.0,1754.53,7688.423497974873,0.110331147876501,175.77341993682515
13780,0.5389904396987654,52476.55868721008,9.1405,8.7535,11.0,5713.77,5830.2846917212,0.1111026492128225,653.2196450626196
14539,0.1630307838573506,54185.426286935806,14.588,11.274,12.5,4271.65,6147.609455049038,0.113455035353874,28.8849631707711
14783,0.8409710425164324,211412.56614351275,13.728,7.70975,13.0,10049.02,22796.01736578345,0.1078271636431907,184.6444145003141
13698,0.5791020075935838,123172.96515130997,11.046,10.379,11.0,7315.85,12803.126946926115,0.1039442943603599,232.83609044127374
10401,-0.1345011213337457,15219.66995382309,10.244,9.02575,12.0,2589.44,2347.1659488677974,0.1542192410209397,34.4425804730453
14520,0.1439251133107386,18251.41639173031,4.289,1.3325,20.0,4844.23,2535.0379258692265,0.1388954079759995,24.652500597530842
14740,-0.1088207794828867,31875.570148468018,5.161,5.1655,23.0,3536.41,4870.047807455063,0.1527830807346084,36.990384416112875
10721,0.5795937594829765,34260.39591407776,4.373,2.87875,23.0,5522.78,4022.849994391203,0.1174198338069466,51.9578824290767
11930,-0.1145812783196888,16218.75556588173,4.584,3.637,28.0,2960.78,2180.2040801644325,0.1344248682525789,30.7092731514418
14047,-0.2178124256600955,16536.55031490326,5.012,4.32525,34.0,3539.41,2619.8035813570023,0.1584250361452928,31.706164006910125
10029,0.7770650056935658,240504.2429016828,9.495,4.692,21.5,10086.61,23209.9106656909,0.0965052025097911,125.68281082245171
12321,0.5658787102249491,21272.249119520187,4.8455,5.403,26.0,5716.9,2844.793023094535,0.1337325925016574,36.797968353624924
11439,-0.1495818842177591,26601.40230178833,4.12725,0.841,25.0,3595.77,4685.162765562534,0.1761246535957078,22.73635379856225
13584,-0.104764384473327,17363.024924516678,4.804,4.1985,26.25,3362.23,2289.1025513112545,0.1318377737325614,26.960943540209694
11574,0.0148493707584582,33808.03920888901,9.64775,7.76975,23.0,3246.38,4182.690055131912,0.1237188004098201,30.851505756183798
10274,-0.0813950889618741,13778.780313253405,4.614,5.76,30.0,2700.95,1752.010286450386,0.1271527846891628,11.297954223210983
12073,-0.2160460359591044,48744.65723323822,9.172,9.225,11.0,6214.25,4569.325228750706,0.0937400217399611,93.8457719570394
10013,0.2596457850419045,190517.2857851982,9.7125,10.381,11.0,9839.18,15787.502761483192,0.0828665110171843,172.15000195514335
10036,0.3213040607744129,77075.6009926796,5.0115,3.4755,20.0,5737.75,5462.153714925051,0.0708674813374965,131.43634008806464
10632,-0.23977630873028,46571.17836332321,5.72325,5.944,12.5,5483.51,4599.63523876667,0.098765704463881,81.7428841983255
12650,-0.0090146808040829,28954.723087787628,8.8695,10.20225,11.0,7202.89,3105.179952979088,0.1072426057594995,80.88818929726544
11692,-0.0516789183419699,42233.2406539917,7.513,9.1395,13.0,7413.99,3153.474834859371,0.0746680762836824,125.39759189082302
13345,0.8512857754943541,214256.6279449463,14.38075,16.053,10.0,10667.13,16846.1061681211,0.0786258344943697,561.5947182928834
12296,-0.1328508238594806,20300.892025470734,6.626,5.039,18.0,2988.16,1846.7693172693248,0.0909698605830845,69.77911803540516
10752,-0.2093018354129464,37217.33402681351,14.962,17.396,9.0,7191.52,3915.2247589230537,0.1051989579936677,95.99847137413815
11471,-0.2897509044186971,51218.801196336746,7.144,7.312,15.0,9409.45,3867.003109484911,0.0754996801791894,52.5159380307948
12928,0.2391792951569712,79604.07256698608,9.0,10.2895,11.0,6471.55,6735.046996295452,0.0846068144393991,154.11553815375714
13312,-0.2176201492367698,86632.34301662445,9.93225,10.12125,9.0,4654.03,8834.01102477312,0.1019712813617185,120.84995346970864
14148,-0.3262172681195079,35135.049173116684,21.175,22.68425,9.0,2076.57,5136.686189115048,0.1461983492268838,63.82448448611776
13511,-0.0945687996863288,45841.51633262634,10.75275,11.20025,12.0,5985.98,4697.16129103303,0.1024652251236716,86.8994981662307
12540,0.0272455599435716,148773.33481955528,9.627,9.888,12.0,4616.72,13998.689896255732,0.0940940788430568,48.24083914250589
12846,-0.04655440816199,130196.21127939224,9.4875,9.65225,12.5,3984.05,9986.363386020064,0.0767024115977538,74.2747121028417
11644,-0.2842997300672841,29322.100333690643,7.22925,5.8615,13.0,3770.52,2420.8412850201125,0.0825602960726044,21.619754082606196
12275,-0.097076334415225,26929.161125659943,4.4985,4.7895,26.0,2219.45,1642.954847216606,0.0610102498013236,47.055227336791326
10239,0.6438280392527618,22593.7962975502,10.513,8.985,16.5,13144.44,1322.288812756538,0.0585244195062478,232.2503384898073
13870,0.1147986278934194,83561.16512680054,11.805,10.518,12.0,3097.42,11868.945041894913,0.1420390084782122,56.16792063752021
11150,-0.1046790201703161,23196.78106641769,10.38,9.707,11.0,10181.42,2683.88945543766,0.1157009434952664,86.23399175287628
12598,0.9271625267910978,263287.8947749138,14.004,4.9535,16.0,14821.75,20523.5274335742,0.0779508964934368,900.5354925939176
12016,0.5973612402700187,80931.73356437683,10.5405,9.5725,14.0,13896.65,5976.772893488407,0.0738495597494424,113.00011879688141
11489,-0.3106263284836946,43177.684286117554,19.801,20.405,9.5,2663.79,6164.150805205107,0.1427624224670844,38.94270199814291
13817,-0.0142580520899135,64171.51700401306,6.595,7.182,22.0,4372.79,4017.0973640978336,0.0625993828982821,32.35272783539533
14792,-0.4711994200907347,35430.73945426941,10.8785,11.152,12.0,2696.56,2911.0055116713047,0.0821604504029206,32.72559110818559
12167,0.5844873955946696,325160.7662410736,11.6785,12.147,12.0,10352.59,29980.72840771079,0.092202785576791,337.3571820732409
14631,0.6607564115213753,23917.678390979767,4.7055,5.341,11.5,3476.88,1874.7706974744792,0.0783843091636153,55.12210294391138
12270,0.2518044633421747,42595.60054731369,4.175,0.789,23.0,2753.01,4409.03477704525,0.1035091587016797,151.77860529776902
10917,0.1284779063861433,25857.33023357392,4.4495,3.485,25.0,3992.56,2422.335596680641,0.0936808082968832,34.83340895387253
12670,-0.2610242627597657,55428.13816332817,14.015,11.355,10.0,2428.28,6249.290628284216,0.1127458153089979,54.92497980722485
10933,0.2222769070131911,66306.54842448235,7.817,8.4365,17.0,5686.61,7040.369487047195,0.1061790977563187,94.96850634970208
10636,0.1575833801635805,45469.98113512993,6.47475,7.1535,14.0,5345.45,4589.106099426746,0.1009260612136304,118.35466438829376
14680,-0.0362060103087153,22567.614401102062,7.293,7.215,18.0,4969.03,1609.8236546665426,0.0713333552255274,10.368431528525585
12911,-0.0104427877130366,12757.484574079514,4.472,2.2165,36.0,5893.64,1162.5304929614067,0.0911253692850564,6.913572436654139
10122,0.4062443938029194,54311.89330220223,8.2005,8.16725,18.0,7346.87,3315.396178081632,0.0610436494937509,12.354185286835044
10513,0.0009150539122654,9119.937265634537,7.304,8.047,17.0,3686.96,715.2882497161626,0.0784312686460563,6.2484042098059644
11619,0.0327685026988326,12181.33101606369,4.439,1.767,33.0,6107.43,965.246875271201,0.0792398526891943,8.839291239905513
12731,0.2737038085188697,24044.142892837524,7.28375,6.9425,16.0,5092.1,1849.4423783421512,0.0769186236575344,19.95576562479686
14860,0.0179235066743381,41279.141803741455,9.4855,10.186,13.0,3747.44,2450.017748296261,0.0593524390585609,13.441206761447765
11012,0.2365034727377526,13125.278692245483,17.8135,16.713,11.0,16665.5,956.7750232964752,0.072895596789251,3.740837269915387
14240,-0.0948129450436642,10369.667974233627,4.383,1.114,16.0,8979.9,889.6932520866394,0.0857976604745044,6.520998872205089
13487,0.2104619400280063,100722.50983333588,9.271,9.5095,14.0,6791.46,5456.472513765097,0.0541733175910116,25.65294990636445
13293,0.052361084060283,62243.90587973595,6.843,7.189,22.0,97897.41,3487.879062533378,0.0560356714964587,51.677029106127335
13970,-0.3562671264138573,35071.65223264694,13.4875,13.27,14.0,4436.51,1630.3379023820162,0.0464859166476449,16.24986455048614
12786,0.4778640284737448,120522.71289211512,10.1955,10.359,12.0,16483.29,5043.546797864138,0.0418472724089676,16.980284492649467
10649,0.5427254391411236,13174.079719781876,10.82975,11.7155,16.0,2933.88,771.5312888920306,0.0585643403792006,81.45911990286987
13285,0.6046424003658368,88408.61308479309,12.44875,10.384,13.0,12939.3,5930.105903193355,0.0670761105312868,4.427109208419794
11164,0.3311165423946312,107661.1547410488,10.71325,10.76525,10.0,8056.2,8686.095419153571,0.0806799392041237,89.24665113533696
11999,0.5351321130179154,101680.91077184676,17.85775,17.5865,9.0,6798.79,9470.19670984149,0.0931364268666993,71.63706350583575
10574,0.3553289315955081,40859.851138591766,5.8095,3.8815,15.5,13370.34,3458.5491471737623,0.0846441935249047,121.40105728574699
13744,-0.0702055520172261,16773.66262626648,9.628,9.6525,10.0,4726.25,1129.564065545797,0.0673415276504352,26.933526725249934
12515,-0.0845070913366478,26630.605259895325,13.4275,11.879,12.0,5702.86,2116.013538718223,0.0794579589186002,38.07203646853823
14899,0.9898532520962522,2801005.5326137543,17.733,9.529,9.5,17772.0,257078.3252281845,0.0917807273976685,662.0878256751312
11493,0.9630189953340214,107429.6638803482,14.313,7.3985,11.0,15600.83,10272.053206279874,0.0956165442137151,788.7702824823708
12933,-0.0832128057290542,21390.04022717476,19.143,19.37,10.0,4924.45,1562.9706452935934,0.0730700189758378,24.853768010665213
12299,0.9231571291007672,128469.4954252243,16.93,18.782,7.5,8837.86,9095.664260566236,0.0708001866938161,5037.594060790454
11359,1.069647977936409,90199.4182920456,20.84175,22.13525,7.0,6043.95,6307.289075255394,0.069926050463361,1318.6403774755147
12619,0.3187088362949941,189414.1606106758,13.468,14.612,9.0,4525.95,16472.963748693466,0.0869679631954877,52.20039361664059
14948,0.386923739191487,54121.383306980126,4.717,0.748,22.0,4868.66,3937.430828720331,0.0727518512671222,165.75098660165887
13148,0.4603116913503228,483828.75863456726,11.3375,11.16325,12.0,7929.64,35801.21249911189,0.073995627296211,139.12098995769517
10443,-0.5409070133284128,15697.99447965622,6.832,6.828,16.5,3450.83,1058.7598523944616,0.0674455487780021,12.399384000796381
11780,-0.3789431296866822,12158.661890387535,17.246,14.5015,11.5,3645.7,828.451056227088,0.0681366965950463,5.394246801383038
11531,0.3115196747737211,128916.70403051376,8.69225,9.12225,16.0,14429.49,7081.496227681637,0.0549307886897689,41.157694452116445
14868,0.0328776258715231,62653.49297308922,6.833,6.854,16.5,15967.55,3217.1359946131706,0.0513480708249576,24.972869554764838
11739,0.8530023547597582,382303.5569550991,10.528,4.874,16.0,11149.28,41662.84980593622,0.1089784519342817,371.5302904115929
10914,0.6513307962159406,23211.308170557026,9.3815,9.662,12.0,13602.22,2814.161615163088,0.1212409742046673,21.598036134223292
11432,0.5403838394753266,9427.169405937197,4.851,1.4095,18.0,5531.65,1369.6238214969633,0.1452847363318176,498.84920287619593
14197,0.0048374012856959,15630.595957517624,9.488,9.346,12.0,3713.67,2050.011701285839,0.1311537773004665,53.098906369265045
14518,0.2559288365337576,22082.94366836548,4.052,3.52,22.0,2763.64,2757.335903942585,0.1248626969914593,129.69595091274908
10200,0.4721218501930673,65548.89263629913,7.914,6.775,15.0,5680.38,7589.06484490633,0.1157771632697837,326.37136949092724
12761,0.2270791119502406,44451.529975652695,9.5645,10.0655,14.0,4406.61,6192.054247960448,0.1392990129102868,94.01806740556887
13655,0.2199749633142096,14092.013864398004,5.174,2.612,17.5,3813.71,1770.6826403141022,0.1256514971779545,234.7620515899597
14406,0.0502363737486095,7887.612215042114,3.908,4.633,21.0,3502.81,709.1880477964877,0.0899116270503292,29.992307845704932
11396,0.0461214294719249,11124.615261554718,3.324,3.2955,38.0,,1022.999807357788,0.0919582190759574,10.140295309115153
14157,0.1714501627640944,10447.816938400269,5.9765,6.23925,19.0,4782.43,729.8902276158332,0.0698605490428502,16.380439466036094
11059,0.2915074007007042,22670.3892223835,4.81225,5.20075,19.0,,1614.7310783565044,0.071226438263451,22.142086156287018
10604,0.2904605426957971,30964.457590460777,7.83,7.609,16.0,8399.37,2301.197529658675,0.0743173854389623,16.10796003198331
