ID,rwi_weight,pop2020,download_mbps_fixed,upload_mbps_fixed,latency_fixed,gdp_per_capita,pop60plus,pop60plus_ratio,pop_density
11385,0.261507854636706,19295.79935026169,4.832,4.187,17.5,2621.53,1060.1926774680614,0.0549442217045899,89.23727117432107
13517,0.148591080715571,15200.15329182148,4.674,1.492,25.0,2929.93,1925.681285828352,0.1266882806283588,144.40953720122457
13861,0.94533970304014,611485.3311710358,12.317,7.308,16.0,13928.43,60529.71958009899,0.0989880157291434,189.72698483099003
13601,0.2635427203961026,15225.064454197884,4.774,1.74125,29.0,3410.72,2372.63556446135,0.1558374725833861,44.03080625531916
13729,0.2874200256576864,51552.89772951603,5.999,5.67,24.0,3748.83,6383.210790425539,0.1238186614439502,147.6675788440319
10372,-0.1370363212149827,19098.83087658882,4.46,0.518,35.0,2614.91,2708.6505407989025,0.1418228455082631,29.948594768796884
11560,0.0943423558681323,30718.29125392437,6.707,6.792,20.5,5058.95,4101.556534677744,0.1335216370198897,113.73701408451724
13145,0.0156615784246344,25590.33501219749,7.365,8.17425,17.5,4067.78,3121.318253993988,0.1219725436383005,30.64678960904346
12517,0.0660043606875412,32569.84042918682,4.769,1.9685,24.5,2890.12,4353.5382877886295,0.1336677806958885,47.66816899071862
11448,0.0125472644935,14258.214298725128,4.206,2.935,18.5,7256.67,1647.7293593287468,0.1155635148137782,80.630110215739
12084,0.073239668532679,17691.695729732513,6.647,7.4445,17.0,3607.55,2858.481080442667,0.161571910579421,65.08482207071656
11742,0.0078455550215931,13736.624478816986,4.40025,2.7635,18.5,4597.92,1652.5372292399406,0.1203015509223747,55.67950984666754
11039,0.079144540763039,99950.21914577484,9.7405,9.65075,15.0,6937.41,11508.10234040022,0.1151383402533209,53.030933060449144
11673,0.0081909654479615,29996.55911040306,8.056,7.152,16.0,3348.07,4953.010097324848,0.1651192751506989,50.8098943015573
13378,0.6263247276226233,78067.67936348915,6.772,6.8625,21.0,8937.36,10074.560432687402,0.1290490573669991,122.29656152589982
11876,0.3525183390594157,21770.013942718502,6.01725,5.823,19.0,5592.82,3401.3308857679367,0.1562392607886037,118.51704867326625
13443,0.1364945275200438,73951.91227424145,7.094,6.777,15.5,5348.06,8390.97118088603,0.1134652360275574,36.257531354147545
10309,0.2240524873484197,10728.73002910614,5.029,4.9195,19.0,8758.72,1118.6401617825031,0.1042658505478026,168.65064124392094
11629,-0.2564321183757415,58619.05311059952,10.954,11.364,10.5,9633.54,4700.843909502029,0.0801931054845377,197.87276252675213
14587,0.0138262413174511,15528.12506389618,7.1435,6.545,15.0,5985.98,2308.6131816506386,0.1486730157150976,42.96502854657606
12105,0.2218054717070385,14385.070722341536,6.45575,6.6605,16.0,8491.64,2137.403919786215,0.1485848739322915,25.218623275087907
11545,-0.2126260104479411,13263.753461122513,11.622,11.586,11.0,6022.09,2058.0603348612785,0.1551642482570016,22.585861827952225
13466,0.2325874161355172,33012.08247756958,6.343,5.736,15.5,6141.7,4352.938096255064,0.1318589367760339,86.35597623751796
11162,0.4125049382244308,96923.55204176904,10.694,10.52675,12.0,7957.05,9301.203055769203,0.0959643230136764,59.44223522245247
14683,-0.1565665568876563,50374.196648836136,8.292,7.4605,15.0,3147.82,6420.196716636419,0.1274501062794567,29.28430732690277
10840,0.1772752510279599,13660.746062040327,5.2385,4.139,19.0,4757.62,1562.2925455272198,0.1143636327351421,81.65505629310444
11153,0.041514372213421,14590.144080638884,6.341,5.401,16.5,5253.97,2216.1665962934494,0.1518947711581753,53.092057192986374
13397,-0.0023411247197118,51162.49340450764,4.63475,4.04875,24.0,2439.7,8883.390680462122,0.1736309176768827,61.98545540683378
13666,-0.0993924693787725,16329.676373004912,8.83075,9.62575,14.0,5139.11,1579.32290366292,0.096714893032035,82.27174183244794
14338,-0.2844283097927427,51812.21503329277,7.052,6.7,17.0,2707.83,4631.196621030569,0.0893842623415099,43.090078087536895
13436,0.3194134429967457,49788.86304235458,10.6745,11.3405,14.5,3862.22,6438.966210976243,0.129325431783785,106.32020287173059
10232,-0.1301024148290294,13276.844697713852,5.435,4.7975,20.5,3409.24,1825.3594421148296,0.1374844312541472,34.67126108761985
12585,0.8098937088678992,260370.6266156435,13.7685,13.3955,16.0,11896.38,28924.876999154687,0.1110911679060222,258.97603245227975
13493,-0.1605737759480205,50321.9734544754,4.522,4.5965,15.0,5590.49,3766.066262930632,0.0748393992603979,75.65679983074624
11588,0.5253282761944253,205486.78179717064,12.653,11.6145,10.5,11010.94,21511.121340930466,0.1046837229762223,136.59232789812012
11684,-0.1704105096820436,26046.491609334946,3.76,2.9,25.0,3733.65,3002.691451072693,0.1152819925274136,35.95122043298373
14750,-0.0027331540574259,81643.9524359703,6.563,5.0535,15.0,3203.77,9403.671382695436,0.1151790316627592,61.559753067560926
