ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
2020-05-02,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.47727,0.41122,full_february,DAY_OF_WEEK
2020-05-03,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.58315,0.50391,full_february,DAY_OF_WEEK
2020-05-04,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.48163,0.39889,full_february,DAY_OF_WEEK
2020-05-05,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.46316,0.42059,full_february,DAY_OF_WEEK
2020-05-06,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.47742,0.40726,full_february,DAY_OF_WEEK
2020-05-07,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.62259,0.52869,full_february,DAY_OF_WEEK
2020-05-08,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.60512,0.5123,full_february,DAY_OF_WEEK
2020-05-09,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.58764,0.52473,full_february,DAY_OF_WEEK
2020-05-10,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.57093,0.4947,full_february,DAY_OF_WEEK
2020-05-11,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.57526,0.47687,full_february,DAY_OF_WEEK
2020-05-12,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.56373,0.49199,full_february,DAY_OF_WEEK
2020-05-13,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.56481,0.47787,full_february,DAY_OF_WEEK
2020-05-14,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.53823,0.46304,full_february,DAY_OF_WEEK
2020-05-15,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.54596,0.47061,full_february,DAY_OF_WEEK
2020-05-16,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.5462,0.46959,full_february,DAY_OF_WEEK
2020-05-17,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.58183,0.50928,full_february,DAY_OF_WEEK
2020-05-18,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.54427,0.44709,full_february,DAY_OF_WEEK
2020-05-19,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.51875,0.45293,full_february,DAY_OF_WEEK
2020-05-20,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.51963,0.45148,full_february,DAY_OF_WEEK
2020-05-21,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.51824,0.45875,full_february,DAY_OF_WEEK
2020-05-22,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.5098,0.43851,full_february,DAY_OF_WEEK
2020-05-23,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.50178,0.44967,full_february,DAY_OF_WEEK
2020-05-24,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.53929,0.4812,full_february,DAY_OF_WEEK
2020-05-25,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.50236,0.44301,full_february,DAY_OF_WEEK
2020-05-26,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.4993,0.4117,full_february,DAY_OF_WEEK
2020-05-27,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.51429,0.43862,full_february,DAY_OF_WEEK
2020-05-28,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.4976,0.44149,full_february,DAY_OF_WEEK
2020-05-29,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.50662,0.43764,full_february,DAY_OF_WEEK
2020-05-30,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.52929,0.51222,full_february,DAY_OF_WEEK
2020-05-31,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.60697,0.56497,full_february,DAY_OF_WEEK
2020-06-01,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.57182,0.46856,full_february,DAY_OF_WEEK
2020-06-02,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.52309,0.48319,full_february,DAY_OF_WEEK
2020-06-03,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.49832,0.44005,full_february,DAY_OF_WEEK
2020-06-04,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.51045,0.45418,full_february,DAY_OF_WEEK
2020-06-05,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.52592,0.44413,full_february,DAY_OF_WEEK
2020-06-06,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.46304,0.43076,full_february,DAY_OF_WEEK
2020-06-07,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.50424,0.42816,full_february,DAY_OF_WEEK
2020-06-08,SLV,GADM,SLV.1.1_1,Ahuachap-n,-0.42557,0.38705,full_february,DAY_OF_WEEK
