GID_0,GID_1,GID_2,rwi_weight,pop2020,download_kbps_fixed,upload_kbps_fixed,download_mbps_fixed,upload_mbps_fixed,latency_fixed,tests_unique_dev_fixed,tests_fixed,hdi,life_expectancy,literacy_rate,gdp_per_capita,life_expectancy_index,literacy_index,education_index,gdp_index,pop60plus,pop60plus_ratio
SLV,SLV.1_1,SLV.1.11_1,0.0873334597016548,37504.25136344212,-1,-1,-1,-1,-1,-1,-1,0.651,69.1,69.3,3191.5,0.735,0.693,0.64,0.578,2299.474523,0.0613123696488833
SLV,SLV.1_1,SLV.1.12_1,,10833.634606120915,-1,-1,-1,-1,-1,-1,-1,0.756,71.2,83.6,7571.1,0.77,0.836,0.777,0.722,945.726666,0.087295418424549
SLV,SLV.2_1,SLV.2.1_1,-0.1677722731888981,3535.1150227800663,-1,-1,-1,-1,-1,-1,-1,0.629,65.9,72.9,1916.9,0.681,0.729,0.713,0.493,264.027174,0.0746870108323562
SLV,SLV.2_1,SLV.2.2_1,0.1208905379828618,6194.567866422493,-1,-1,-1,-1,-1,-1,-1,0.614,65.2,61.7,3474.8,0.669,0.617,0.582,0.592,555.8159860000001,0.089726353473789
SLV,SLV.2_1,SLV.2.3_1,0.6062641292306624,10530.129359661118,-1,-1,-1,-1,-1,-1,-1,0.658,65.3,71.7,4467.7,0.672,0.717,0.668,0.634,976.217756,0.0927071000418761
SLV,SLV.2_1,SLV.2.4_1,0.3263125908882132,64161.83753879628,-1,-1,-1,-1,-1,-1,-1,0.666,66.3,74.8,4016.7,0.688,0.748,0.693,0.616,5796.438838000002,0.0903409107398944
SLV,SLV.2_1,SLV.2.5_1,-0.311795218566298,5948.167497362156,-1,-1,-1,-1,-1,-1,-1,0.588,64.1,62.1,1937.8,0.652,0.621,0.616,0.495,572.2030279999999,0.0961982036070362
SLV,SLV.2_1,SLV.2.6_1,0.1117355078818719,5266.461436403267,-1,-1,-1,-1,-1,-1,-1,0.633,65.6,68.0,3239.8,0.6765000000000001,0.6799999999999999,0.653,0.5695,661.6035189999997,0.125625816687237
SLV,SLV.2_1,SLV.2.7_1,0.1621321967186788,33788.95440677937,-1,-1,-1,-1,-1,-1,-1,0.683,67.7,71.6,5294.0,0.711,0.716,0.676,0.662,3560.2824639999994,0.1053682342797109
SLV,SLV.2_1,SLV.2.8_1,0.2381320440435312,8782.736406081101,-1,-1,-1,-1,-1,-1,-1,0.662,65.9,70.7,4236.0,0.681,0.707,0.679,0.625,767.0669709999999,0.08733803857177
