ID,rwi_weight,pop2020,download_mbps_fixed,upload_mbps_fixed,latency_fixed,gdp_per_capita,pop60plus,pop60plus_ratio,pop_density
14217,0.6377686201431912,132187.51184916229,5.2745,1.577,15.0,5768.7,11025.44145,0.0834075874170399,471.40390795156924
14499,0.8473049489256329,33331.88827221255,5.389,1.1155,15.0,6260.4,3347.544483,0.1004306883444918,486.96765781549954
13959,0.3289952333156647,46095.10473334968,4.886,0.513,26.0,4487.1,3509.3752269999995,0.0761333605227927,156.67865917589236
11195,0.6062641292306624,10530.129359661118,5.378,1.5795,16.5,4467.7,976.217756,0.0927071000418761,441.30883688084225
12175,0.3263125908882132,64161.83753879628,5.396,1.244,18.5,4016.7,5796.438838000002,0.0903409107398944,254.36085146694708
11700,0.1621321967186788,33788.95440677937,5.3095,1.1925,18.0,5294.0,3560.2824639999994,0.1053682342797109,99.54988381338133
13985,0.4224462582890832,27925.574270480207,4.778,0.5185,23.0,6567.2,3226.205159,0.1155286952293898,236.194106899842
11371,0.2308895581351119,27514.40267289813,4.98,0.5345,23.0,5443.9,2594.503763999999,0.0942962053308757,77.71812673279797
14557,1.0098919582517625,40804.3362190293,5.459,1.4405,20.0,7418.4,4042.520467999999,0.0990708547812315,1599.6516821841212
11246,1.3166256892108352,40891.58824977564,10.635,4.679,11.0,20131.1,4949.055291999999,0.1210286883886725,1634.4304256260868
14134,0.7977932674964917,80352.42924432267,5.74475,1.3635,14.0,5153.9,6066.982810000001,0.0755046594988746,893.7406848804987
10539,0.9415228942115924,149934.15850274818,9.557,2.01575,13.0,6110.1,8786.851673000003,0.0586047353101257,2062.313841362699
13296,0.5546815296043808,33539.31957631524,5.148,1.0895,20.0,4366.3,2646.6419750000005,0.0789116180183036,268.65729384058
12650,1.029987359279414,126071.13438981464,10.947,3.8995,11.0,12455.7,13036.752281,0.1034079081155094,1045.6263530086096
10795,0.6693776064235674,94900.57405252288,8.381,1.927,13.0,4588.2,6944.545033,0.0731770603321801,395.28450905206154
14572,0.8306067953923238,57309.13120446457,6.523,1.8555,19.0,5469.5,5276.351954,0.0920682593350665,423.35193590430714
10679,0.3407211161658339,20007.42099636801,6.417,1.7385,17.0,3719.4,1736.28588,0.086782093519959,153.08303882926924
10635,0.2794179635098724,16268.340077627654,5.4255,1.84925,24.75,2975.7,1236.988845,0.0760365740510377,158.6218140354512
10351,0.8461090910086178,29266.945321763225,9.948,2.255,12.0,4412.7,2037.532317,0.0696188923920552,1234.4081697981962
11385,0.5538115229072206,42942.288831841855,5.161,0.551,26.0,6415.6,2898.1898139999994,0.0674903432685912,595.3673362003393
13198,0.555536591340416,23521.6777389509,8.266,7.6395,8.0,4167.4,1777.7508640000003,0.0755792543257286,200.46775687007369
12066,0.2925370360609249,51384.386728992366,5.302,1.294,21.0,3857.4,4385.903303,0.0853547854162743,300.1677257586151
14465,0.6122979303044199,66755.30898530147,5.047,0.888,25.0,5053.6,6413.575547,0.0960758873636877,251.40055316676793
11257,0.3580410031517655,47595.356563813286,5.2875,1.891,34.0,4234.8,4612.707512000001,0.0969150741798841,210.0865207972373
13516,0.4504991144798979,20019.38218086604,5.2755,1.423,37.0,6753.6,2416.750959,0.1207205565669185,150.5185401944949
14304,0.0740022516335172,12426.425161948458,4.96,2.24325,22.5,5924.2,1992.132068,0.1603141725828117,48.73929761722806
11339,0.3826632044418431,30679.457663033827,5.0595,1.40925,28.0,7174.0,3591.335483000001,0.117059940317239,195.99024310522313
12802,0.5952305803562673,17452.770998381995,5.146,0.555,27.25,5496.9,1852.756022,0.1061582726417349,281.6951756156725
10916,0.2514075543121647,21847.387766650107,4.8285,0.542,26.0,3587.7,1808.5741310000003,0.0827821682993504,185.91604619929754
12873,0.593676458556919,16775.928698586933,4.9625,1.4015,28.0,5352.6,1837.4464580000008,0.1095287474698656,197.1116213758262
10078,0.7314132570701473,223973.37429265125,5.518,1.8255,20.5,6956.8,21782.948681,0.0972568670262459,334.0440393585975
14985,0.79297315963083,18366.897393715648,5.15725,0.527,24.0,5941.9,1730.6505209999998,0.0942266123614407,512.3572865811353
13238,1.2334424925968377,202649.600952888,4.772,0.485,27.0,6595.7,12886.35114,0.0635893240322531,3075.1906111388857
12410,1.608613874227414,69817.77732004161,9.91225,2.311,12.0,9418.7,6416.005532000001,0.0918964449783228,9153.046625023491
14305,1.5427636383291192,76132.94887521505,6.099,1.6605,16.0,7581.4,6158.726707999999,0.0808943670117704,9583.561166008118
11796,1.1735869412126911,143177.594518209,5.14,0.5305,24.5,7014.0,11743.414535,0.0820199178126749,4303.901065290073
13915,0.4799056473278392,24405.90206192466,4.70375,0.4845,29.0,5266.2,1995.203039000001,0.081750841822507,369.1794365498699
12415,1.197389616684411,77532.17621618058,5.427,1.0635,17.0,8474.5,6043.024094000001,0.0779421446542455,3085.0333748592075
12974,1.314612870254462,116055.59212307056,9.066,2.089,13.0,11939.9,13058.486385,0.1125192344988615,6445.380182411726
14591,0.7869867692866099,56709.12422815408,5.428,1.86925,24.0,4409.0,4247.294510999999,0.0748961400622612,606.1875864382389
10011,0.3695178741155037,41946.08285643841,5.0495,0.511,25.0,4605.9,2838.702257,0.0676750262167634,412.4519148239502
14294,1.5055519856801527,47625.71542239153,5.828,1.6055,19.0,6839.9,4731.580225999998,0.099349273476224,2705.0029696584397
14553,0.9607209103640908,82185.3060021942,5.1325,0.527,26.0,6037.7,6001.897179,0.0730288353351116,1634.1272948881483
12570,1.3932813408361302,267593.7038338396,8.413,2.1295,13.0,11996.0,36176.891539,0.1351933585158782,3754.611160019506
11226,0.8459023344193055,29119.30870991334,7.51,1.96475,17.5,7279.2,2513.9544419999997,0.0863329025782865,1098.4828560193753
12361,1.1675942271907291,182292.870337646,8.0915,1.92825,13.0,9055.8,16437.598389999996,0.0901713729097248,5625.333259698343
10211,0.7041202241423159,199987.31544176195,4.92,0.498,27.0,5988.1,8095.854293999999,0.0404818389412181,2944.200030149262
13432,0.1161589233047068,17854.541014378083,7.367,1.845,15.0,3211.8,1832.4217579999995,0.1026305720502346,130.62230276461628
10531,0.5122529446460496,53147.1651116355,5.51975,1.4885,16.0,5657.7,5296.761646,0.0996621670200877,183.97001214503706
14127,0.2063569310825742,24159.084558998264,4.95,0.538,23.0,4291.9,2412.714198,0.0998677823287539,195.50762718040494
12536,0.7392086047677838,76348.25778305657,7.15825,1.88725,14.0,6351.8,7266.388252,0.095174251030684,407.1001915442312
14813,0.4077869068522488,50914.59626514005,5.5245,1.614,15.0,3626.8,4704.689977999999,0.0924035605330172,312.73070463499397
12334,0.6531353212019094,14601.060128842302,8.556,1.8815,14.5,3777.6,1050.720275,0.0719619168559173,313.74448515278334
14834,0.2548041286315464,62308.23957451272,5.248,1.6775,17.0,5890.6,6267.080807,0.100581894943531,91.05963810011538
11851,0.7034420691421273,24355.11513886018,8.5535,1.914,14.5,4924.0,1709.0185310000002,0.0701708253587004,830.6706002804011
14346,0.8265546697419852,253897.14488036727,9.317,2.104,13.0,7176.7,26448.551830000004,0.1041703396958724,595.7368454085048
10178,0.1923937162000212,16310.377890481372,5.1205,0.53675,25.0,4233.8,1850.5945379999996,0.1134611687372365,89.40084522849882
14523,0.4761840300518096,49007.0604849984,4.8365,0.5595,25.0,6364.7,4161.903022,0.0849245594575908,306.83719627093177
14038,0.5569723971142448,44813.678276720006,8.497,1.9155,13.5,6393.4,3741.529768000001,0.0834907981642664,644.5925159639603
14609,0.5319246785755368,78062.17711402693,5.23725,0.6335,23.5,5390.5,6256.186824999998,0.0801436374988807,408.27302023535026
11707,0.2444075207190056,27374.618452041454,5.2645,1.2235,22.0,7627.3,2498.882039,0.0912846344645087,260.4799158672797
10075,0.8084979833353589,54304.76019820082,5.342,1.0295,20.0,7179.9,4332.988809,0.0797902208422523,1629.1484816362938
11249,0.427306627909891,57969.94208697953,6.04925,1.88075,17.0,3114.7,5696.50572,0.0982665415027122,242.8905162012458
14603,0.8471295439499607,37815.94144993619,7.109,1.94,18.0,8398.4,2593.501597,0.0685822300744115,3344.319355681537
11567,0.2461765728820875,61888.94244919212,5.11225,1.0715,26.25,5114.7,5419.182739999998,0.0875630205581375,128.38473775434286
